Farmer_ID,Country,Age,Gender,Farm_Size,Crop_Type,Annual_Income_USD,Irrigation_Method,Education_Level,Years_of_Experience,Market_Access,Fertilizer_Use_kg_per_acre,Pesticide_Use_liters_per_acre,Yield_per_Acre_kg
1,Pakistan,48,Male,Large (>10 acres),Tomato,15365,Canal,Secondary,18,Local Market,105.44,12.86,2194
2,Pakistan,46,Male,Medium (2-10 acres),Sugarcane,6624,Tube well,Secondary,44,Local Market,160.63,3.26,9669
3,Sri Lanka,22,Female,Small (<2 acres),Wheat,15358,Canal,College,2,Export,133.59,14.61,1092
4,Nepal,42,Female,Medium (2-10 acres),Tomato,18008,Rain-fed,Primary,49,Local Market,240.62,14.19,1470
5,Sri Lanka,33,Female,Small (<2 acres),Maize,9860,Drip,University,11,Export,133.03,4.32,9576
6,Nepal,18,Male,Large (>10 acres),Sugarcane,6751,Drip,College,37,Local Market,140.78,13.27,2032
7,Pakistan,19,Female,Large (>10 acres),Tomato,11419,Sprinkler,Secondary,44,Regional Market,128.69,1.72,5009
8,India,26,Female,Large (>10 acres),Rice,2445,Drip,Secondary,40,Regional Market,296.22,11.8,1105
9,Sri Lanka,37,Female,Large (>10 acres),Sugarcane,15020,Drip,University,35,Export,82.79,12.35,3456
10,Sri Lanka,64,Female,Medium (2-10 acres),Sugarcane,16566,Sprinkler,University,5,Regional Market,108.64,9.0,2822
11,Sri Lanka,23,Male,Medium (2-10 acres),Rice,17215,Canal,College,46,Local Market,136.33,16.35,9548
12,Sri Lanka,24,Female,Medium (2-10 acres),Wheat,15890,Canal,University,20,Export,292.62,16.82,5454
13,Nepal,58,Male,Large (>10 acres),Potato,17829,Sprinkler,University,42,Export,285.24,19.43,9677
14,India,50,Male,Small (<2 acres),Potato,19012,Canal,College,22,Regional Market,287.75,11.46,9088
15,Sri Lanka,60,Female,Small (<2 acres),Rice,6105,Drip,No formal education,34,Local Market,274.89,7.28,3077
16,Pakistan,20,Female,Large (>10 acres),Wheat,15974,Tube well,Secondary,7,Export,213.57,5.36,9089
17,Pakistan,50,Female,Medium (2-10 acres),Sugarcane,3464,Sprinkler,University,39,Export,117.4,14.4,4459
18,India,24,Male,Small (<2 acres),Potato,9815,Sprinkler,Secondary,39,Local Market,214.21,1.39,4894
19,Sri Lanka,60,Male,Small (<2 acres),Maize,15838,Rain-fed,University,19,Export,62.76,10.34,1385
20,Nepal,25,Female,Large (>10 acres),Tomato,7832,Canal,University,30,Regional Market,157.43,10.03,8521
21,Nepal,59,Female,Medium (2-10 acres),Rice,16939,Sprinkler,Primary,49,Regional Market,254.26,11.84,5468
22,Sri Lanka,23,Female,Small (<2 acres),Maize,18035,Rain-fed,No formal education,21,Regional Market,271.39,18.38,4622
23,India,45,Male,Large (>10 acres),Tomato,17539,Drip,University,20,Regional Market,200.32,6.12,8210
24,Bangladesh,65,Male,Small (<2 acres),Tomato,12195,Drip,College,26,Regional Market,188.5,9.17,7987
25,Sri Lanka,56,Male,Large (>10 acres),Maize,16763,Tube well,Primary,41,Export,206.23,1.66,1491
26,Pakistan,48,Female,Medium (2-10 acres),Tomato,3506,Tube well,University,4,Local Market,147.61,11.71,5218
27,Sri Lanka,53,Male,Medium (2-10 acres),Cotton,8751,Sprinkler,Secondary,30,Regional Market,162.38,7.1,1032
28,Nepal,56,Female,Small (<2 acres),Cotton,7969,Drip,College,25,Local Market,279.43,7.24,4652
29,Nepal,66,Male,Medium (2-10 acres),Maize,12405,Tube well,University,36,Export,164.85,5.66,2279
30,Sri Lanka,69,Female,Medium (2-10 acres),Rice,2795,Canal,University,40,Local Market,121.55,2.61,1874
31,Pakistan,29,Female,Large (>10 acres),Maize,7285,Rain-fed,College,30,Regional Market,134.16,15.93,9864
32,Pakistan,68,Male,Small (<2 acres),Rice,13375,Tube well,College,26,Local Market,95.24,17.1,7753
33,Nepal,37,Female,Small (<2 acres),Tomato,16497,Rain-fed,No formal education,23,Export,234.66,3.28,4437
34,Sri Lanka,54,Female,Small (<2 acres),Sugarcane,18366,Sprinkler,College,35,Regional Market,250.66,19.42,1150
35,India,70,Male,Small (<2 acres),Potato,5203,Canal,Primary,40,Regional Market,257.07,12.58,4856
36,Bangladesh,27,Male,Small (<2 acres),Sugarcane,18041,Canal,College,28,Regional Market,47.54,6.85,3928
37,India,19,Female,Large (>10 acres),Wheat,19624,Drip,College,6,Export,248.8,4.71,4213
38,India,60,Female,Medium (2-10 acres),Wheat,14369,Canal,College,25,Export,220.79,13.44,4298
39,Pakistan,21,Female,Medium (2-10 acres),Potato,13256,Tube well,Secondary,19,Local Market,43.48,11.44,9767
40,India,19,Female,Small (<2 acres),Maize,5853,Tube well,No formal education,19,Local Market,24.57,17.59,4045
41,Pakistan,57,Male,Large (>10 acres),Rice,15691,Canal,Primary,10,Local Market,205.1,3.05,2653
42,India,68,Male,Small (<2 acres),Rice,18289,Sprinkler,Secondary,1,Regional Market,249.33,4.55,7929
43,Nepal,56,Female,Medium (2-10 acres),Sugarcane,6022,Drip,Primary,8,Export,40.27,6.04,9192
44,Nepal,31,Female,Large (>10 acres),Maize,3603,Rain-fed,University,8,Local Market,125.88,11.03,2045
45,Nepal,20,Male,Medium (2-10 acres),Maize,18219,Canal,No formal education,15,Export,278.77,14.88,7527
46,Nepal,23,Female,Large (>10 acres),Potato,722,Canal,No formal education,1,Local Market,189.07,0.75,5240
47,Sri Lanka,24,Male,Large (>10 acres),Wheat,1210,Canal,Primary,5,Export,261.14,10.55,6675
48,Bangladesh,26,Female,Large (>10 acres),Wheat,2200,Sprinkler,University,25,Local Market,84.26,12.09,5300
49,India,46,Female,Large (>10 acres),Sugarcane,5601,Tube well,College,19,Local Market,270.93,8.11,3303
50,India,42,Female,Medium (2-10 acres),Maize,6237,Canal,Secondary,11,Local Market,33.02,12.02,4951
51,Pakistan,49,Female,Small (<2 acres),Potato,1799,Canal,No formal education,38,Local Market,131.53,7.28,4292
52,Bangladesh,58,Female,Medium (2-10 acres),Maize,11003,Tube well,No formal education,1,Export,155.38,17.99,4765
53,Nepal,25,Male,Small (<2 acres),Wheat,3499,Canal,Secondary,1,Local Market,202.63,1.72,621
